"N° DM","LIGNE","N°BL","Article","Quantité","CHANTIER","Date livraison","INTITULER","EE","RECEPTION"
"25-0047776","25-0047776/36/1","00116767","78824009","2","MONTEREAU","26/01/2026","CONSOLE U-180 L=10_04M  R26812","ETF",""
"25-0047783","25-0047783/44/1","00116767","08804913","28","MONTEREAU","26/01/2026","TUBE 38-4 L=1_500M   3575R3576","ETF",""
"25-0047783","25-0047783/1/1","00117554","78804047","11","MONTEREAU","29/01/2026","COSSE D'EXTREMITE     6603R306","ETF","02/04/2026"
"25-0047783","25-0047783/10/1","00117554","08806816","4","MONTEREAU","29/01/2026","DEMI-GRIFFE SERRAGE   6604R301","ETF","02/04/2026"
"25-0047783","25-0047783/11/1","00117554","08806819","24","MONTEREAU","29/01/2026","DEMI-GRIFFE SERRAGE   6604R304","ETF","02/04/2026"
"25-0047783","25-0047783/12/1","00117554","71674471","300","MONTEREAU","29/01/2026","ECROU HFR M10 INOX + REVET +CL","ETF","02/04/2026"
"25-0047783","25-0047783/13/1","00117554","71674602","200","MONTEREAU","29/01/2026","ECROU HFR M12 INOX + REVET +CL","ETF","02/04/2026"
"25-0047783","25-0047783/14/1","00117554","01679101","2","MONTEREAU","29/01/2026","ECROU HFR_ M14 INOX +REVET +CL","ETF","02/04/2026"
"25-0047783","25-0047783/15/1","00117554","08804392","38","MONTEREAU","29/01/2026","ETRIER DE 10-45-50      17R238","ETF","02/04/2026"
"25-0047783","25-0047783/16/1","00117554","08800738","56","MONTEREAU","29/01/2026","ETRIER DE 10-50-65      17R064","ETF","02/04/2026"
"25-0047783","25-0047783/17/1","00117554","08808267","28","MONTEREAU","29/01/2026","ETRIER DE 12-57-65      17R106","ETF","02/04/2026"
"25-0047783","25-0047783/19/1","00117554","08800578","28","MONTEREAU","29/01/2026","ISOLATEUR VERRE            355","ETF","02/04/2026"
"25-0047783","25-0047783/2/1","00117554","08800719","28","MONTEREAU","29/01/2026","CROCHET                 200211","ETF","02/04/2026"
"25-0047783","25-0047783/20/1","00117554","08800576","28","MONTEREAU","29/01/2026","ISOLATEUR VERRE A SEMELLE  350","ETF","02/04/2026"
"25-0047783","25-0047783/21/1","00117554","08804452","28","MONTEREAU","29/01/2026","MANCHON DE BLOCAGE      204158","ETF","02/04/2026"
"25-0047783","25-0047783/22/1","00117554","08801736","68","MONTEREAU","29/01/2026","MANCHON EXTREMITE 116_2 201370","ETF","02/04/2026"
"25-0047783","25-0047783/23/1","00117554","08827535","28","MONTEREAU","29/01/2026","PIECE D ATT.S/CONSOLE    32741","ETF","02/04/2026"
"25-0047783","25-0047783/24/1","00117554","08802646","28","MONTEREAU","29/01/2026","PIECE D'ALLONGEMENT     202389","ETF","02/04/2026"
"25-0047783","25-0047783/25/1","00117554","08804500","56","MONTEREAU","29/01/2026","PINCE POUR 1 FIL RAINURE  4000","ETF","02/04/2026"
